title,price,taste,brand,description,spirit_style,state
Macallan Gold,69.99,None,Macallan," Speyside, Scotland- Natural color is one of The Macallan Six Pillars, which define and distinguish our single malts from others. The Macallan Gold brings a rich and unique allure to the natural color. This color is drawn from sherry seasoned oak casks carefully selected for excellence. ",Single Malt,Speyside
Macallan M Black,6999.99, Rich . Peat . Oak . Vanilla . Complex ,Macallan, Scotland- A Lalique Crystal decanter hand crafted from the hardest of all crystal. Black is indicative of the rarity of the liquid in this bottling from The Macallan. Uncharacteristically for Macallan peated notes are present. Only 700 bottles World Wide. ,Single Malt,Speyside
Macallan Master of Photography - The Bar,2899.99, Delicate . Oak . Spice . Fruit . Balanced ,Macallan," Highlands, Scotland- Part of the Annie Leibovitz project in which she captured images of Scottish actor Kevin McKidd. In this image McKidd is casually shot in the Red Spot Bar enjoying a glass of Macallan. Enjoy the smooth oaky flavor and spiced fruit undertones on the neat. ",Single Malt,
Macallan Master of Photography - The Skyline,2899.99, Medium . Citrus . Vanilla . Oak . Balanced ,Macallan," Highlands, Scotland- Part of the Annie Leibovitz project in which she captured images of Scottish actor Kevin McKidd. The spirit expresses playful notes of citrus, vanilla and cream soda with hints of oak that lead to a warm finish. ",Single Malt,
Macallan Masters of Photography 6,3599.99, Rich . Oak . Spice . Balanced ,Macallan," Scotland- In collaboration with Steven Klein, this is Macallan's first use of casks previously used for Rioja wine, which privides flavors of sweet berries and spice with an unique pinkish color. Includes 1 of 10 limited edition Steven Klien signed prints. Only 100 available in the US. ",Single Malt,Speyside
Macallan No.6,3899.99, Rich . Baked Fruit . Orange . Butterscotch . Long ,Macallan," Highlands, Scotland - To the nose, toasted oak, pepper and marshmallows, fruits, and Black Forest Gateaux. On the palate, nutty, almonds, calves leather, vanilla, sherried peels and ginger. The finish is mulled wine spices and malt. ",Single Malt,
Macallan Rare Cask,259.99, Rich . Raisin . Orange . Balanced ,Macallan," Highlands, Scotland - Rare Cask is crafted using first fill sherry seasoned oak casks, handpicked by our Master Whisky Maker from less than 1% of the casks maturing at The Macallan Distillery. Sip neat or add a drop or two of water to open the flavor and aromas. Enjoy! ",Single Malt,
Macallan V5 Reflexion,1399.99, Rich . Oak . Sherry . Balanced ,Macallan," Highlands, Scotland - Part of The Macallan's decanter series, Reflexion follows on from the success of M. Matured in first-fill sherry hogsheads - both American and Spanish oak - this shows excellent balance between citrus zest, sultana and spicy flavors. ",Single Malt,
MacCay & Scott 12 Yr Blended Scotch Whisky,21.99, Medium . Caramel . Smoke . Balanced ,MacCay & Scott," Scotland- ""Carmelized vanilla and dark roasted nutty tanins on the pallet. Smooth with delicate fruity notes on the finish. A fireside blend - great for sipping or on the rocks."" ",Blended Scotch,
MacCay & Scott 3 Yr Blended Scotch Whisky,15.99, Medium . Vanilla . Nut . Caramel . Complex ,MacCay & Scott," Scotland- a subtle yet rich blend of fine malt and grain whiskies from Speyside and Highland regions. Vanila and baking scents on the nose, mellow taste and sweet richness on the finish. Perfect on the rocks or mixed in a Rob-roy. Silver Medal SF Spirits Competition ",Blended Scotch,
Mackinlay's Shackleton Malt,179.99,None,Mackinlay's," Highlands, Scotland - Delicate aromas of crushed apple, pear & fresh pineapple with notes of oak shavings, smoke and hints of buttery vanilla, creamy caramel & nutmeg. On the palate; a tantalizing array of flavors that is both harmonious and exhilarating. ",Single Malt,Highland
MacQueens 12 Year Blended Scotch Whisky,21.99, Rich . Vanilla . Smoke . Long ,MacQueens, Scotland- MacQueen's uses a large amount on malt whisky in its blends to ensure rich flavor and complexity. The 12 year has sweet powder suger and fruit notes with barley and citrus developing in the finish. 2016 International Spirits Challenge - Gold Medal Winner ,Blended Scotch,
MacQueens 15 Year Blended Scotch Whisky,24.99, Medium . Spice . Cedar . Smoke . Balanced ,MacQueens," Scotland- MacQueen's uses a large amount of malt whisky in its blends to ensure rich flavor and complexity. The 15 year is complex with vanilla, oak, and cedar flavors with fruity aromas and a spicy character. 2016 International Spirits Challenge - Silver Medal Winner ",Blended Scotch,
MacQueens 26 Year Blended Scotch Whisky,99.99, Intense . Dried Fruit . Spice . Complex ,MacQueens, Scotland- The 26 year is a robust blend with oak and spice notes that are surrounded with cereal grain flavors and a floral sweetness that pushes through before a complex finish. 2016 International Spirits Challenge - Gold Medal Winner ,Blended Scotch,
MacQueens 3 Year Blended Scotch Whisky,12.99, Light . Caramel . Smoke . Balanced ,MacQueens, Scotland- MacQueen's uses a large amount of malt whisky in its blends to ensure rich flavor and complexity. The 3 year is a sharp and simple blend with vanilla and faint oak notes with some fruit and baking spice towards the back. 2016 International Spirits Challenge - Silver Medal ,Blended Scotch,
MacQueens 32 Year Blended Scotch Whiskey,129.99, Intense . Dried Fruit . Cedar . Complex ,MacQueens, Scotland- MacQueen's uses a large amount of malt whisky in its blends to ensure rich flavor and complexity. The 32 year is the flagship of the MacQueens brand. Its rich and intense with oak and spice notes give way to fully developed floral and fruit flavors. A rare and fine expression. ,Blended Scotch,
MacQueens 8 Year Blended Scotch Whisky,16.99, Medium . Vanilla . Spice . Mild ,MacQueens," Scotland- MacQueen's uses a large amount of malt whisky in its blends to ensure rich flavor and complexity. The 8 year is more fruity and delicate than the 3 year with budding floral notes and light sweetness. 2018 Wine Enthusiast ""Best Buy"" ",Blended Scotch,
Mannochmore Speyside 25 Yr,379.99, Delicate . Toffee . Coffee . Mild ,Mannochmore," Speyside, Scotland- Nose is fruity to start, with candied orange peel and red apple emerging from fruitcake layers. The palate is hot and sweet with vanilla toffee, creamy coffee and burnt orange peel with an oaky dryness. The finish is medium and firm with a faintly smoky warmth. ",Single Malt,Speyside
Mars Whisky Iwai,27.99,None,Mars," Japan - Japan's highest distillery at 800 meters in Miyata village in Nagano Prefecture, situated between the north and south Alps of Japan. Mars Shinshu distillery was founded in 1985 by Hombo Shuzo Ltd. The tasting notes are sweet with fruit flavors like pear, and quince. ",Single Malt,
Mars Whisky Iwai Rindo,174.99, Light . Pear . Vanilla . Mild ,Mars," Japan- The Mars Komagatake Rindo Single Malt is first in the Nature of Shinchu Series from Mars. Named after a summer blossom ""Rindo"" from the Nagano Alps surrounding the distillery. It is a blend of old and new single malt from 80's 90's and 2011 from varying casks. ",Single Malt,
Mars Whisky Iwai Tradition,44.99,None,Mars," Japan - Japan's highest distillery at 800 meters in Miyata village in Nagano Prefecture, situated between the north and south Alps of Japan. Mars Shinshu distillery was founded in 1985 by Hombo Shuzo Ltd. Tasting notes of ripe cherry, honey toffee with a beautiful ginger spice. ",Single Malt,
Marshal Scotch,14.79,None,Marshal," Scotland- Blend of premium malted scotch and grain whiskey. Rich aroma of warm toffee leads to a smooth, buttery palate entry with vanilla notes and baking spices in the finish. Enjoy on the rocks. ",Blended Scotch,
McClelland's Highland,27.99, Rich . Spice . Peat . Balanced ,McClelland's," Highlands, Scotland- Specially chosen to highlight this area’s unique flavors in scotch making. Produced at the Glen Garioch distillery. Malt with a dry peatd nose and hints of cinnamon and hazelnut. ",Single Malt,Highland
McClelland's Islay,19.99, Intense . Peat . Oak . Vanilla . Long ,McClelland's," Islay, Scotland- Specially chosen to highlight this area’s unique flavors in scotch making. Produced at the Bowmore distillery. Firm and Robust. With plenty of sea air, peat and oak. Has just a small trace of vanilla and lemon for roundness. ",Single Malt,Islay & Islands
McClelland's Lowland,25.99, Delicate . Fruit . Herbal . Mild ,McClelland's," Lowlands, Scotland- Specially chosen to highlight this area’s unique flavors in scotch making. Produced at the Auchentoshan distillery. Fruity and flowery with oak and caramel with a clean taste and no peat. ",Single Malt,Lowland
McClelland's Speyside,26.99, Rich . Malt . Butterscotch . Balanced ,McClelland's," Speyside, Scotland- Scents of butterscotch and malted barley, common in Speyside single malts, greet you. Texture is creamy and goes nicely with the sweetness of this zesty drink. ",Single Malt,Speyside
McIvor 12Yr Scotch,22.49,None,McIvor," Scotland- A superb 12 Year Old blend with a nice aged wood aged character. Creme brulee, raisin, and toasted coconut aroma. A smooth entry that leads to a delicate palate of vanilla, dried fruit, and sweet brown spice. ",Blended Scotch,
McIvor 17Yr Scotch,53.99,None,McIvor," Scotland- A bold aroma of butter roasted nuts, malted chocolate, and mossy marsh reeds lead to a soft, smooth entry to a medium body with pepper, buttercream, and nutty accents. Enjoy on the rocks! ",Blended Scotch,
McIvor Finest Scotch Whisky,11.99,None,McIvor," Scotland- Nutty nose welcomes a dry body with a sweet character. Buttered caramel consumes the palate with slight pepper notes that appear towards the smooth, medium length finish. ",Blended Scotch,
Michel Couvreur 12 Yr Malt Scotch Whiskey,69.99, Rich . Nut . Vanilla . Balanced ,Michel Couvreur," Scotland- This bottling is the vatting of 54 malt whiskies between 12 and 27 years old. On the palate it is initially light, with features emerging slowly: almond-peat, cashew, golden brown sugar, wheat. The finish is whisper-quiet, loaded with vanilla and toasted almond. ",Single Malt,
Michel Couvreur Pale Single-Single Malt Scotch Whisky,99.99, Intense . Spice . Sherry . Long ,Michel Couvreur," France - Michel Couvreur is a Belgium-born negociant who imports Scotch whiskies to his facilities in Burgundywhere they undergo a slow aging process in sherry casks. Aged for over 12 years, and has developed entrancing notes of lavender, violet, honey, berry fruit, pear and spice. ",Single Malt,
Mikkeller Black Whiskey Version B,84.99,None,Mikkeller, Denmark - The very popular brewer - Mikkeller is making spirits now! This whiskey begins as Mikkeller's famous black stout then it is distilled into whiskey then aged in Bourbon Barrels. Enjoy on the rocks! ,Single Malt,
Mikkeller Black Whiskey Version O,84.99,None,Mikkeller, Denmark - The very popular brewer - Mikkeller is making spirits now! This whiskey begins as Mikkeller's famous black stout then it is distilled into whiskey then aged in Oloroso Barrels. Enjoy on the rocks! ,Single Malt,
Mikkeller Black Whiskey Version R,84.99,None,Mikkeller, Denmark - The very popular brewer - Mikkeller is making spirits now! This whiskey begins as Mikkeller's famous black stout then it is distilled into whiskey and aged in Rum Barrels. Enjoy on the rocks or with mix with cola. ,Single Malt,
Monarch of the Glen 12yr Blended Scotch Whisky,18.99, Rich . Nut . Oak . Balanced ,Monarch Of The Glen," Scotland- Candy store mix of toffee and fruit bonbons. Gorgeously silky with barley followed by a welter of light fruity punches. Tangerine segments and a slow bitter build; charming, fruity and a blend to put your feet up with. Double Gold Medal - San Francisco Spirits Competition. ",Blended Scotch,
Monarch of the Glen 15yr Blended Scotch Whisky,21.99, Rich . Spice . Oak . Long ,Monarch Of The Glen," Scotland- Created using a range of the highest quality malt whiskies from Speyside and Highland regions. Blended with the purest grain whisky from the Lowlands. Complex with vanilla oaky flavor, fruity ester aromas, and a spicy character. Silver Medal-San Francisco Spirits Competition. ",Blended Scotch,
Monarch of the Glen 3yr Blended Scotch Whisky,9.99, Delicate . Spice . Honey . Vanilla . Balanced ,Monarch Of The Glen," Scotland- Created using a range of the highest quality malt whiskies from Speyside and Highland regions. Crisp aroma, mellow taste and sweet richness. Silver Medal - San Francisco Spirits Competition. ",Blended Scotch,
Monarch of the Glen 8yr Blended Scotch Whisky,14.99, Delicate . Vanilla . Floral . Balanced ,Monarch Of The Glen, Scotland- Created using a range of the highest quality malt whiskies from the Speyside and Highland regions and blended expertly together with the purest grain whisky from the Lowlands. Increased vanilla sweetness with rounded floral and light fruit notes. Best with a bit of water. ,Blended Scotch,
Monkey Shoulder Scotch Whisky,23.99,None,Monkey Shoulder, Scotland- A beautiful scotch with floral aromas blended with zesty citrus and fresh fruit along with subtle hints of honey and spiced oak. Rich vanilla flavor with sweet brown sugar and creamy toffee balanced with notes of oak and dashes of spice. IWSC Gold Medal Winner ,Blended Scotch,
Montgomerie's Aberfeldy Single Malt Scotch Whisky,99.99, Rich . Cinnamon . Floral . Complex ,Montgomerie's," Highlands, Scotland - Select single cask collection aimed to capture the distinct flavors of the Highland region of Scotland. Rich aromas of fruit and malt. A Rich full body of seet malts subtle oak. Enjoy neat. ",Single Malt,Highland
Montgomerie's Ben Nevis 95 Single Malt Scotch Whisky,79.99, Rich . Oak . Caramel . Long ,Montgomerie's," Highlands, Scotland - Select single cask collection aimed to capture the distinct flavors of the Highland region of Scotland. Delicate aromas of sweet spice and malt. Balanced full body of caramel, spice and subtle oak. Enjoy neat. Silver Medal- San Francisco Spirits Competition. ",Single Malt,Highland
Montgomerie's Ben Nevis 97 Single Malt Scotch Whisky,99.99, Rich . Orange . Pepper . Spice . Complex ,Montgomerie's," Highlands, Scotland - Select single cask collection aimed to capture the distinct flavors of the Highland region of Scotland. A rich sweetish malt with aromas of orange and a soft peppery, spicy finish. ",Single Malt,Highland
Montgomerie's Caol lla Single Malt Scotch Whisky,124.99, Rich . Peat . Salt . Complex ,Montgomerie's," Islay, Scotland - Select single cask collection aimed to capture the distinct flavors of the Islay region of Scotland. Gental smokey peat aromas and sweet malt give way to sea salt with a long smokey finish. Enjoy neat or with a drop of mineral water. ",Single Malt,Islay & Islands
Montgomerie's Glen Moray Single Malt Scotch Whisky,89.99, Medium . Spice . Baked Fruit . Long ,Montgomerie's," Speyside, Scotland - Select single cask collection aimed to capture the distinct flavors of the Speyside region of Scotland. Soft fruity nose, sweet and creamy on the palate with a smooth finish. Enjoy neat. ",Single Malt,Speyside
Montgomerie's Glen Ord Single Malt Scotch Whisky,99.99, Rich . Cedar . Vanilla . Long ,Montgomerie's," Highlands, Scotland - Select single cask collection aimed to capture the distinct flavors of the Highland region of Scotland. A full nose of rich malt and a round flavors or caramel and malt with a long warming finish. Enjoy neat. ",Single Malt,Highland
Montgomerie's Tobermory Single Malt Scotch Whisky,99.99, Delicate . Oak . Caramel . Balanced ,Montgomerie's," Highlands, Scotland- Select single cask collection aimed to capture the distinct flavors of the Scotland's lsle of Mull. Characterized by its peaty smokiness and oily texture with prominent notes of dried fruits and caramel with a vanilla finish. ",Single Malt,Highland
Mortlach 18 Yr,319.99, Rich . Almond . Oak . Balanced ,Mortlach," Speyside, Scotland - The nose begins nutty followed by notes of ginger and cinnamon paired with apples and a hint of lemon zest. Sweet syrup, toffee and caramel notes develop on the palate with oak and almond, and tropical fruit with a hint of tobacco. The finish is long yet balanced. ",Single Malt,Speyside
Mortlach 25 Yr,999.99, Rich . Chocolate . Spice . Balanced ,Mortlach," Speyside, Scotland - The nose begins with vanilla, pineapple, lemon zest, and a hint of tobacco followed by notes of crushed almonds and light oak. The palate consists of dark chocolate, baking spices, and dried fruit. The finish is sweet with cocoa and oak spice. Enjoy neat. ",Single Malt,Speyside
Mortlach Rare Old,139.99,None,Mortlach," Speyside, Scotland - There's quite a bit of sweetness on thee nose with notes of hazelnut, cinnamon, and candied orange with vanilla. The palate is oily with dark chocolate, cherry, raisin, and oak leading through to a long and spicy finish. Sip neat or add a drop of water and enjoy. ",Single Malt,Speyside
Muirhead 20 Yr,95.99,None,Muirhead," Speyside, Scotland - To the nose, very subtle, barely there unless you get your nose in there. What you do pick up is a pleasant and a bit fruity. The taste is light, floral and very subtle. The finish is more pronounced once it sits with you for a couple seconds. ",Single Malt,
Muirhead Maturity,31.99,None,Muirhead," Speyside, Scotland - Delicate and sweet with floral notes and hints of fuit. Soft and oily texture with nutty chacaters that balance with oak tannins. Long and sweet finish. Enjoy neat or on the rocks. ",Single Malt,
Muirhead Speyside 12 yr Scotch,38.99,None,Muirhead," Speyside, Scotland - Soft sweet and delicate with clean floral notes. Long and elegant with mellow tones. Nose of barley and twist of smoke. Palate of grand malt and dried fruits with a long well defined floral finish. Enjoy neat. ",Single Malt,
Muirhead Speyside 16 yr Scotch,54.99,None,Muirhead," Speyside, Scotland - One of Speyside's most distinguished Single Malts, personally selected after sampling of aged casks by the master distiller. A rich and full nose of dried fruit, chocolate and herbs. Sweet and well rounded with hints of smoke and peat. Enjoy neat or on the rocks. ",Single Malt,Speyside
Muirhead's 1992 Speyside Single Malt Scotch,109.99,None,Muirhead," Speyside, Scotland - Rich, full aromas of dried fruit, chocolate and herbs with sweet, well-rounded flavors of toffee and barley sugar accompanied by hints of smoke and pear. Enjoy the long finish neat or on the rocks. ",Single Malt,
Murray McDavid Bunnahabhain 13 Year,79.99,None,Murray McDavid," Scotland- A Fall-like aroma, with scents of warm apples and pears that are smothered in honey. Complex but well balanced palate full of mango, ginger, oats and a slight tang of orange that all lead to a sweet and rich finish. ",Single Malt,Islay & Islands
Nikka Coffey Grain Whisky,52.99,None,Nikka," Japan- An essential component of the house blends, Nikka Coffey Grain is an original single grain whisky, distilled mainly from corn in a Coffey still. Exotic, fruity and unique, it is meant for the connoisseur in search of an unconventional whisky. Enjoy! ",Single Malt,
Nikka Coffey Malt Whisky,59.99, Medium . Peat . Smoke . Balanced ,Nikka," Japan- This spirit is the result of a unique distillation process in ""Coffey"" type column stills, which are normally used for grain whisky production. This rare 100% malt bottling offers a surprisingly rich texture. ",Single Malt,
Nikka Miyagikyo 12 Yr Single Malt,249.99, Delicate . Wood . Grass . Peat . Balanced ,Nikka," Japan- Softly smoky and utterly irresistible, this whisky shows incredible balance and complexity. On the palate the richness is evident and the sweetness is perfectly balanced by the most subtle whiffs of peat, grass, earth and exotic wood. ",Single Malt,
Nikka Miyagikyo Single Malt,79.99, Medium . Grain . Smoke . Balanced ,Nikka," Japan- Using less peaty malt and distilled in a pot still heated by indirect steam, Miyagikyo single malt has an elegant fruitiness and a distinctive aroma with a strong Sherry cask influence. ",Single Malt,
Nikka Taketsuru 12 Year Pure Malt,64.99,None,Taketsuru," Japan- A perfect balance of fruit, oak and smoke on the nose. This bright golden malt whisky gives fresh apple and subtle hints of vanilla flavors on the palate. A outstandingly smooth and balanced finish that is incredible on its own. ",Single Malt,
Nikka Taketsuru 17 Year Pure Malt,199.99,None,Nikka," Japan- Fresh and fruity aromas of fruit salad, berries, vanilla spice, wood and honey. A mellow, well-founded nose and palate that are sure to please with a medium-length finish and a bittersweet character. Enjoy neat. ",Single Malt,
Nikka Taketsuru 21 Year Pure Malt,239.99, Rich . Fruit . Oak . Complex ,Nikka, Japan- A pure malt whisky that is characterized by the deep and flavorful richness with excellent balance that is unique to its age. A blend of rich ripe fruit and aged cask on the nose with complex changes in character as the finish approaches. Enjoy on the rocks. ,Single Malt,
Nikka Taketsuru Pure Malt,52.99,None,Nikka," Japan - This pure malt whisky is characterized by a deep and flavorful richness and excellent balance. You're sure to enjoy the nose, which blends the richness of ripe fruit and the complex changes in character that appear as the finish approaches. Enjoy. ",Single Malt,
Nikka Whiskey From the Barrel,48.99,None,Nikka," Japan- Nikka From the Barrel is a blend of mulitple types of malt and grain that Nikka reserves. Created to deliver full flavors and richness of whisky ""from barrels"" which only blenders can sniff and taste. The liquid marriage is rested in used casks for 3-6 months. ",,
Nikka Yoichi Single Malt,79.99,None,Nikka, Japan- Has pleasant peaty notes and smokiness originating from the traditional direct coal-fired distillation as well as a briny hint delivered by the sea breeze during the aging process. ,Single Malt,
Nikka Yoichi Single Malt 15 Yr,379.99, Delicate . Fruit . Peat . Long ,Yoichi," Japan- The Yoichi Single Malt displays a combination of strong, soft and delicate flavors. It is characterized by it mature and ample aromas and smooth, silky flavors, This complex character is due to the distillery being located just a km away from the sea. ",Single Malt,
Oban 14 Yr,68.99, Rich . Citrus . Peat . Smoke . Long ,Oban," Highlands, Scotland- This western Highland malt is said to have been originally founded in 1794. Oban is a true classic with an amber color, an assertive, round nose, and a rich, slightly viscous body. On the palate, it is dry with malty and fruity undertones. ",Single Malt,Highland
Oban 18 Yr,97.99, Rich . Toffee . Smoke . Peat . Long ,Oban," Whisky Advocate-Highlands, Scotland- ""A beautiful combination of rich, nutty toffee balanced by polished oak, salt, pepper, seaweed, distant smoke and dried fruit. Somewhat oily in texture. Wonderful depth, too! Very exciting and dynamic."" ",Single Malt,
Oban Distillers Edition,109.99, Rich . Fruit . Smoke . Oak . Balanced ,Oban," Highlands, Scotland- Fruity and pungent nose, mixed with sea breeze aromas and notes of crushed grapes, orange zest and hints of smoke; complex. Soft malt on the palate, followed by wave upon wave of delicate yet rich fruit notes. Finishes with hints of sweetened coffee and oak. ",Single Malt,Highland
Oban Little Bay,48.99,None,Oban," Highlands, Scotland - A deep aroma or sea salt, oak, coffee, and citrus. The palate is dominated by notes of baking spices, brown sugar, Christmas cake, and oak. The finish is balanced and elegant with slight notes of smoke and fruit. Sip neat. ",Single Malt,
Octave Benriach Peated Scotch,89.99,None,Duncan Taylor,,Single Malt,Speyside
Octave Glen Moray 8 Yr,79.99,None,Octave,,Blended Scotch,Speyside
Octave Mortlach 1995 19YO,189.99, Medium . Sherry . Oak . Chocolate . Complex ,Octave," Speyside, Scotland - For a long time, Mortlach was a secret only know by Blenders, and saught out by the most knowledgable Scotch fans. The heavy, meaty, complex distillery character and 2.81 distillation was the key ingredient in Johnnie Walker. ",Single Malt,Speyside
Octave Strathmill 1992 21YO C997773,159.99, Medium . Spice . Spice . Oak . Balanced ,Octave," Speyside, Scotland - Another Keith Distillery rarely bottled as a Single Malt, the distillery was licensed in 1891 in the buildings of an old corn mill. Strathmill is mostly destined for blend, yet shows remarkable complexity when given time and matured in quality Oak Casks. ",Single Malt,Speyside
Officer's Choice Blue Whisky,17.99,None,Officer's Choice, India- Premium varient of Officer's Choice made from a fine blend of scotch malts and select Indian grain spirits. Elegantly designed and centered around the value of righteousness. ,Blended Scotch,
Officer's Choice Rare Whisky,17.99,None,Officer's Choice,,Blended Scotch,
Ohishi Brandy Cask Whisky Single Barrel Select,69.99, Medium . Spice . Apple . Oak . Mild ,Ohishi, Japan- This is a single cask whisky from Japan matured in ex-brandy casks. Silky and smooth on the palate with soft floral notes accented by very light oak spice and rich candied apple flavors. It is elegant and complex. Each cask is limited to just a few hundred bottles. ,Single Malt,
Ohishi Sherry Cask Whisky Single Barrel Select,69.99, Rich . Spice . Raisin . Sweet . Long ,Ohishi," Japan- This Single Sherry Cask Whisky is a unique spirit from Japan. Deep, rich sherry and dates cover the palate. The whisky is complex in its structure and balanced, but still elegant and smooth. The finish has a touch of oak spice and raisins. ",Single Malt,
Ohishi Whisky Brandy Cask,69.99,None,Ohishi, Japan- Imported by the Georgia Royal Collection Inc. Distilled and bottled at Ohishi Distillery in Japan using malted and unmalted rice. Aged in a brandy cask. Sweet and floral aromas with flavors of black licorice and spiced gumdrops. ,Single Malt,
Ohishi Whisky Sherry Cask,69.99,None,Ohishi," Japan- Imported by the Georgia Royal Collection Inc. Distilled and bottled at Ohishi Distillery in Japan using malted and unmalted rice. Aged in a sherry cask. Rich, soft, and balanced. ",Single Malt,
Old Ballantruan 10 Yr Speyside Glenlivet Single Malt Scotch Whisky,59.99, Rich . Peat . Vanilla . Smoke . Balanced ,Old Ballantruan," Speyside, Scotland - A gentle, spicy with smokey ""peat-reek"" on the nose. Gentle peaty smokiness with a sweet, creamy, malty backbone on the palate. The sweet finish is gradually replaced with smokey depth. Silver Medal SF Spirits Competition ",Single Malt,Speyside
Old Bridge 12YO Scotch Whisky,39.99, Rich . Vanilla . Peat . Balanced ,Old Bridge, Scotland-The Old Bridge in Strathspey was built by General Wade in 1746 as part of a military offensive against Bonnie Prince Charlie. This blend uses whiskies matured for at least 12 years giving it a nose full of Speyside aromas and flavor with depth and roundness. Best sipped neat. ,Blended Scotch,
Old Bridge Scotch Whisky,12.99, Delicate . Vanilla . Floral . Balanced ,Old Bridge, Scotland- The Old Bridge in Strathspey was built by General Wade in 1746 as part of a military offensive against Bonnie Prince Charlie. A real Highland note in the nose leads to flavors of mature malts which fade to a pleasantly mellow end palate. Best when sipped neat. ,Blended Scotch,
Old Bridge Special Reserve Blended Scotch Whisky,19.99, Rich . Vanilla . Smoke . Balanced ,Old Bridge," Scotland - A golden, rounded malt with a subtle hint of peat on the nose that has a lingering yet smooth finish. Enjoy straight, on the rocks, or add a drop or two of spring water. Old Bridge Special Reserve is the scotch to relax with. ",Blended Scotch,
Old Crofter Blended Scotch Whisky,14.99, Rich . Honey . Vanilla . Balanced ,Old Crofter," Scotland- Smooth and semi-sweet, this smoky malt is balanced by sweeter vanilla and hints of spice. Predominant malt flavors are lightened by grain whiskies and a touch of distinctive smoke and spice. Full, refined and appetizing, with a memorable and distinctive burst of spicy warmth. ",Blended Scotch,
Old Malt Cask 168 Caol Ila 16 Yr,169.99,None,Old Malt Cask," Islay, Scotland- Aged 16 years, this Islay malt is salty and fresh with creamy yet phenolic notes. Powerful peat before a smooth creaminess. Finish is peaty, pepppery and piquant. ",Single Malt,Islay & Islands
Old Malt Cask Blair Athol 19 Yr,119.99, Rich . Sherry . Baked Fruit . Citrus . Long ,Old Malt Cask," Highlands - The nose is sweet vanilla with butterscotch, sultanas, raisins and apples. The palate is creamy with dark chocolate, rich fruits and cashews. The Finish is long, lingering and slightly sweet, with a hint of soft oak. Only 627 bottles were obtained from this cask. ",Single Malt,Highland
Old Parr 12 Year,21.99, Intense . Malt . Grain . Long ,Old Parr," Scotland- On the nose, the whiskey is malty, very scented, cake-like. Big on the palate; notably firm-bodied and malty, with notes of grain and toasted sesame seeds and a touch of honey. The finish is soothing and long, developing slight lemon grass and peatiness. ",Blended Scotch,
Old Parr Tribute,44.99,None,Old Parr," Speyside, Scotland - Copper hued, delicate malt-driven with dried fruit and spice in the nose. Bold flavors of fruit, nut, spice, and clove with a touch of briny on the palate. The finish is balanced and smooth. Sip neat or on the rocks. Enjoy! ",Blended Scotch,
Old Pulteney 12 Year,47.99, Delicate . Sherry . Salt . Mild ,Old Pulteney," Highlands, Scotland- Matured wholly in air-dried, hand-selected ex-bourbon casks. Dry, medium bodied and smooth with a clean finish: faintly salty with a slight sherry note and sea air. ",Single Malt,Highland
Old Pulteney 17 Year,109.99,None,Old Pulteney," Highlands, Scotland- Features ex-bourbon maturation, with the addition of spirit that has been wholly matured in Spanish wood ex-sherry (mostly Pedro Ximenez and Oloroso) casks. This adds a subtle depth and complexity to the whisky, making for an outstanding after-dinner drink. ",Single Malt,Highland
Old Pulteney 1988,299.99, Rich . Apple . Floral . Peat . Balanced ,Old Pulteney," Scotland- Oriental spices & tangy green apples wrapped in warm wood smoke. Honey and vanilla cut through with a lemony top note and a faint floral accent. Dark and peaty with a heavy, spicy underpinning. Peat smoke flickers and changes, revealing a very mature, spicy and tannic side. ",Single Malt,Islay & Islands
Old Pulteney 1997,169.99,None,Old Pulteney," Scotland- Golden amber with straw highlights. Full bodied with traces of fruits (apples and pears); slightly fragrant with spicy overtones. Creamy, toffee, vanilla, baked red apple with a hint of smokiness and a dry finish. ",Single Malt,Islay & Islands
Old Pulteney 21 Year,179.99,None,Old Pulteney," Highlands, Scotland- Full-bodied nose with traces of apples and pears; slightly fragrant with spicy overtones. Sweet to start with a light fruitiness, with hints of honey and vanilla followed by a dry finish. Named Whisky of the year, 2012 Whisky Bible. ",Single Malt,Highland
Old Pulteney 30 Year,499.99, Intense . Honey . Spice . Long ,Old Pulteney," Highlands, Scotland- Bright copper in color, with a bold fruity nose of berries, citrus and lemons. Body is tart with honey sweetness to balance. Finishes warm and long with a slight spice. ",Single Malt,
Old Pulteney 35 Year,899.99, Rich . Sweet . Spice . Honey . Balanced ,Old Pulteney," Scotland- Full bodied and bursting with attitude. This exceptional dram is sweet, spicy and quickly develops a range of signature Old Pulteney flavors from honey, rum-soaked raisins and California oranges to the heavier notes of leather, praline and salt. ",Single Malt,Highland
Old Pulteney 40 Year,2599.99, Rich . Orange . Toffee . Sherry . Long ,Old Pulteney," Highlands, Scotland- Rich aromas of pears, clove, butterscotch & oak; flavors of sweet orange, sea spray, toffee and spice followed by a long finish loaded with sweet sherry spice. The oldest official bottling ever released from Old Pulteney. Limited Release. ",Single Malt,
Old Pulteney Clipper Commemorative,44.99,None,Old Pulteney," Highland, Scotland- This limited edition Old Pulteney Clipper Commemorative bottle includes an exclusive liquid matured in both ex-bourbon and ex-sherry casks for rich and complex flavors. ",Single Malt,Highland
